Operator,ProductName,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Limited Application Quota (GB),Unlimited Main Quota (GB),Unlimited Application Quota (GB),Others
AXIS,AXIS BOOSTR video 500 MB Rp 1.000,1.0,1.0,0.0,0.5,0,0,
AXIS,AXIS BOOSTR video 1 GB Rp 1.300,1.3,1.0,0.0,1.0,0,0,
AXIS,AXIS BOOSTR video 2 GB Rp 2.000,2.0,1.0,0.0,2.0,0,0,
AXIS,AXIS BOOSTR video 1 GB Rp 4.000,4.0,7.0,0.0,1.0,0,0,
AXIS,AXIS BOOSTR video 2 GB Rp 6.000,6.0,7.0,0.0,2.0,0,0,
AXIS,AXIS BOOSTR video 3 GB Rp 8.500,8.5,7.0,0.0,3.0,0,0,
AXIS,AXIS BOOSTR video 1 GB Rp 5.000,5.0,30.0,0.0,1.0,0,0,
AXIS,AXIS BOOSTR video 2 GB Rp 8.500,8.5,30.0,0.0,2.0,0,0,
AXIS,AXIS BOOSTR video 5 GB Rp 16.500,16.5,30.0,0.0,5.0,0,0,
AXIS,AXIS BOOSTR musik 500 MB Rp 600,0.6,1.0,0.0,0.5,0,0,
AXIS,AXIS BOOSTR musik 1 GB Rp 1.000,1.0,1.0,0.0,1.0,0,0,
AXIS,AXIS BOOSTR musik 2 GB Rp 1.500,1.5,1.0,0.0,2.0,0,0,
AXIS,AXIS BOOSTR musik 1 GB Rp 3.500,3.5,7.0,0.0,1.0,0,0,
AXIS,AXIS BOOSTR musik 2 GB Rp 5.500,5.5,7.0,0.0,2.0,0,0,
AXIS,AXIS BOOSTR musik 3 GB Rp 7.500,7.5,7.0,0.0,3.0,0,0,
AXIS,AXIS BOOSTR musik 1 GB Rp 4.500,4.5,30.0,0.0,1.0,0,0,
AXIS,AXIS BOOSTR musik 2 GB Rp 7.500,7.5,30.0,0.0,2.0,0,0,
AXIS,AXIS BOOSTR musik 5 GB Rp 15.000,15.0,30.0,0.0,5.0,0,0,
AXIS,AXIS BOOSTR sosmed 500 MB Rp 1.000,1.0,1.0,0.0,0.5,0,0,
AXIS,AXIS BOOSTR sosmed 1 GB Rp 1.300,1.3,1.0,0.0,1.0,0,0,
AXIS,AXIS BOOSTR sosmed 2 GB Rp 2.000,2.0,1.0,0.0,2.0,0,0,
AXIS,AXIS BOOSTR sosmed 1 GB Rp 4.000,4.0,7.0,0.0,1.0,0,0,
AXIS,AXIS BOOSTR sosmed 2 GB Rp 6.000,6.0,7.0,0.0,2.0,0,0,
