Product Name,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Unlimited Main Quota (GB),Limited Application Quota (GB)
Paket Data Kuota 100 GB,100.0,30,100.0,0,0
Paket Data Kuota M,38.0,30,16.0,0,5
Paket Data Kuota L,55.0,30,30.0,0,10
Paket Data Kuota 2L,82.0,30,55.0,0,10
Paket Data Kuota 3L,115.0,30,85.0,0,15
Paket Data Kuota 4L,137.0,30,110.0,0,15
Kuota 3 GB,15.0,14,3.0,0,0
Unlimited Harian 3 GB,100.0,28,0,13.0,0
Unlimited Harian 2 GB,80.0,28,0,12.0,0
Unlimited Harian 700 MB,65.0,28,0,10.7,0
Unlimited Harian 1 GB,45.0,14,0,11.0,0
Unlimited Harian 1 GB,25.0,7,0,11.0,0
Unlimited Harian 1 GB,9.0,1,0,11.0,0
Unlimited Nonstop 2 GB,10.0,10,0,12.0,0
Unlimited Nonstop 3 GB,15.0,14,0,13.0,0
Unlimited Nonstop 6 GB,35.0,30,0,16.0,0
Unlimited Nonstop 12 GB,50.0,30,0,22.0,0
Unlimited Nonstop 30GB,70.0,30,0,40.0,0
Unlimited Nonstop 45 GB,100.0,30,0,55.0,0
Unlimited Nonstop 60 GB,125.0,30,0,70.0,0
