Product Name,Price (Rp),Limited Main Quota (GB),Limited Main Quota Duration (Hari),Limited Application Quota (GB),Limited Application Quota Duration (Hari),Unlimited Application Quota (GB),Unlimited Application Quota Duration (Hari),Validity Duration (Day)
Happy 130GB 30 hari,150.0,130.0,30.0,0.0,0.0,0.0,0.0,30.0
Happy 52GB UL 30 Hari..,80.0,22.0,30.0,30.0,30.0,5.0,5.0,30.0
Hot Sale 100GB 24 Jam.,140.0,100.0,30.0,0.0,0.0,5.0,5.0,30.0
Hot Sale 117GB 24 Jam,125.0,117.0,30.0,0.0,0.0,0.0,0.0,30.0
Hot Sale 50GB 24 Jam,100.0,50.0,30.0,0.0,0.0,5.0,5.0,30.0
Hot Sale 30GB 24 Jam,70.0,30.0,30.0,0.0,0.0,5.0,5.0,30.0
Hot Sale 13GB 24 Jam,50.0,13.0,30.0,0.0,0.0,5.0,5.0,30.0
Hot Sale 30GB 7hr,20.0,30.0,7.0,0.0,0.0,0.0,0.0,7.0
AON Unlimited 26GB..,80.0,26.0,365.0,0.0,0.0,0.0,0.0,365.0
Home 150GB.,160.0,150.0,30.0,0.0,0.0,0.0,0.0,30.0
Home 120GB.,130.0,120.0,30.0,0.0,0.0,0.0,0.0,30.0
Home 117GB..,125.0,117.0,30.0,0.0,0.0,0.0,0.0,30.0
Home 100GB.,100.0,100.0,7.0,0.0,0.0,0.0,0.0,7.0
Home 38GB.,90.0,31.0,30.0,0.0,0.0,0.0,0.0,30.0
Home 32GB.,80.0,19.0,30.0,0.0,0.0,0.0,0.0,30.0
Rp 25.000,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp 10.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130GB 30 Hari,150.0,130.0,30.0,0.0,0.0,0.0,0.0,30.0
100GB 30 Hari.,140.0,100.0,30.0,0.0,0.0,5.0,5.0,30.0
50GB 30 Hari,100.0,50.0,30.0,0.0,0.0,5.0,5.0,30.0
30GB 30 Hari,70.0,30.0,30.0,0.0,0.0,5.0,5.0,30.0
13GB 30 Hari,50.0,13.0,30.0,0.0,0.0,5.0,5.0,30.0
5GB 7 Hari,20.0,5.0,7.0,0.0,0.0,0.0,0.0,7.0
50GB 7 Hari.,15.0,50.0,7.0,0.0,0.0,0.0,0.0,7.0
3GB 2 Hari,10.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0
6GB 3 Hari,10.0,6.0,30.0,0.0,0.0,0.0,0.0,30.0
5GB 1 Hari,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38GB+30Menit 30 Hari.,90.0,16.0,30.0,0.0,0.0,0.0,0.0,30.0
32GB+30Menit 30 Hari.,85.0,38.0,30.0,0.0,0.0,0.0,0.0,30.0
3GB + Voice.,40.0,30.0,30.0,0.0,0.0,0.0,0.0,30.0
2GB + Voice.,35.0,30.0,30.0,0.0,0.0,0.0,0.0,30.0
6GB + Voice.,15.0,6.0,30.0,0.0,0.0,0.0,0.0,30.0
5GB + Voice.,10.0,5.0,30.0,0.0,0.0,0.0,0.0,30.0
