Product Name,Price (Rp),Total Anggota,Limited Main Quota (GB),Limited Application Quota (GB),Unlimited Application Quota (GB),Validity Duration (Day)
Xtra Combo Flex S+,31.0,0,10.0,0.0,0.0,30.0
Xtra Combo Flex M,41.0,0,15.0,0.0,0.0,30.0
Xtra Combo Flex L,60.0,0,27.0,0.0,0.0,30.0
Xtra Combo Flex XL,85.0,0,45.0,0.0,0.0,30.0
Xtra Combo Flex XXL,115.0,0,90.0,0.0,0.0,30.0
Xtra Combo Flex XXXL,140.0,0,180.0,0.0,0.0,30.0
30 GB,62.0,2 orang,30.0,0.0,1.0,30.0
42 GB,85.0,2 orang,42.0,0.0,1.0,30.0
65 GB,125.0,2 orang,65.0,0.0,1.0,30.0
147 GB,205.0,3 orang,147.0,0.0,1.0,30.0
260 GB,320.0,4 orang,260.0,0.0,1.0,30.0
460 GB,515.0,4 orang,460.0,0.0,1.0,30.0
Xtra Combo VIP Plus 10 GB,71.5,0,20.0,3.0,1.0,30.0
Xtra Combo VIP Plus 20 GB,101.0,0,40.0,3.0,1.0,30.0
Xtra Combo VIP Plus 30 GB,141.0,0,54.0,6.0,1.0,30.0
Xtra Combo VIP Plus 52 GB,192.0,0,92.0,9.0,1.0,30.0
Xtra Combo VIP Plus 72 GB,252.5,0,122.0,15.0,1.0,30.0
Xtra Combo Plus 10 GB,59.9,0,20.0,3.0,2.0,30.0
Xtra Combo Plus 20 GB,89.9,0,40.0,3.0,2.0,30.0
Xtra Combo Plus 30 GB,134.0,0,56.0,6.0,2.0,30.0
Xtra Combo Plus 52 GB,182.9,0,92.0,9.0,2.0,30.0
Xtra Combo Plus 72 GB,244.9,0,122.0,15.0,2.0,30.0
Xtra Combo Mini 1.5 GB,9.9,0,3.5,0.5,0.0,7.0
Xtra Combo Mini 2.5 GB,14.9,0,5.5,1.0,0.0,7.0
Xtra Combo Mini 4 GB,18.9,0,8.0,2.0,0.0,7.0
Xtra Combo Mini 6 GB,24.9,0,11.5,3.0,0.0,7.0
Xtra Kuota Utama 2GB,6.0,0,2.0,0.0,0.0,0.5
Xtra Kuota Utama 2GB,7.5,0,2.0,0.0,0.0,1.0
