,Product Name,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Unlimited Main Quota (GB),Limited Application Quota (GB),Operator,Others,Price,Main Quota Amount (GB),Main Quota Duration (Hari),App Quota Amount (GB),App Quota Duration (Hari),Product Duration (Hari),Total Anggota,Main Quota,Limited Application Quota,Unlimited Application Quota,Product Duration,Unnamed: 0,Unlimited Application Quota (GB)
0,Paket Data Kuota 100 GB,100.0,30.0,100.0,0.0,0.0,Smartfren,,,,,,,,,,,,,,
1,Paket Data Kuota M,38.0,30.0,16.0,0.0,5.0,Smartfren,,,,,,,,,,,,,,
2,Paket Data Kuota L,55.0,30.0,30.0,0.0,10.0,Smartfren,,,,,,,,,,,,,,
3,Paket Data Kuota 2L,82.0,30.0,55.0,0.0,10.0,Smartfren,,,,,,,,,,,,,,
4,Paket Data Kuota 3L,115.0,30.0,85.0,0.0,15.0,Smartfren,,,,,,,,,,,,,,
5,Paket Data Kuota 4L,137.0,30.0,110.0,0.0,15.0,Smartfren,,,,,,,,,,,,,,
6,Kuota 3 GB,15.0,14.0,3.0,0.0,0.0,Smartfren,,,,,,,,,,,,,,
7,Unlimited Harian 3 GB,100.0,28.0,0.0,13.0,0.0,Smartfren,,,,,,,,,,,,,,
8,Unlimited Harian 2 GB,80.0,28.0,0.0,12.0,0.0,Smartfren,,,,,,,,,,,,,,
9,Unlimited Harian 700 MB,65.0,28.0,0.0,10.7,0.0,Smartfren,,,,,,,,,,,,,,
10,Unlimited Harian 1 GB,45.0,14.0,0.0,11.0,0.0,Smartfren,,,,,,,,,,,,,,
11,Unlimited Harian 1 GB,25.0,7.0,0.0,11.0,0.0,Smartfren,,,,,,,,,,,,,,
12,Unlimited Harian 1 GB,9.0,1.0,0.0,11.0,0.0,Smartfren,,,,,,,,,,,,,,
13,Unlimited Nonstop 2 GB,10.0,10.0,0.0,12.0,0.0,Smartfren,,,,,,,,,,,,,,
14,Unlimited Nonstop 3 GB,15.0,14.0,0.0,13.0,0.0,Smartfren,,,,,,,,,,,,,,
15,Unlimited Nonstop 6 GB,35.0,30.0,0.0,16.0,0.0,Smartfren,,,,,,,,,,,,,,
