,Operator,ProductName,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Limited Application Quota (GB),Unlimited Main Quota (GB),Unlimited Application Quota (GB),Others
0,Indosat,Freedom Internet 1GB/2 Hari,5.000,2,1,0,0,0,
1,Indosat,Freedom Internet 2GB/5 Hari,10.000,5,2,0,0,0,
2,Indosat,Freedom Internet 5GB/5 Hari,15.000,5,5,0,0,0,
3,Indosat,Freedom Internet 7GB/7 Hari,20.000,7,7,0,0,0,
4,Indosat,Freedom Internet 15GB/3 Hari,25.000,3,15,0,0,0,
5,Indosat,Freedom Internet 3GB / 30 Hari,20.000,30,3,0,0,0,
6,Indosat,Freedom Internet 5GB / 30 Hari,30.000,30,5,0,0,0,
7,Indosat,Freedom Internet 12GB / 30 Hari,50.000,30,12,0,0,0,
8,Indosat,Freedom Internet 24GB / 30 Hari,80.000,30,24,0,0,0,
9,Indosat,Freedom Internet 35GB / 30 Hari,100.000,30,35,0,0,0,
10,Indosat,Freedom Internet 50GB / 30 Hari,120.000,30,50,0,0,0,
11,Indosat,Freedom Internet 100GB / 30 Hari,150.000,30,100,0,0,0,
12,Indosat,Freedom Internet 200GB / 30 Hari,200.000,30,200,0,0,0,
13,Indosat,Freedom Internet 100GB / 90 Hari,250.000,90,100,0,0,0,
14,Indosat,Freedom Internet 200GB / 180 Hari,450.000,180,200,0,0,0,
15,Indosat,Freedom Internet 400GB / 360 Hari,850.000,360,400,0,0,0,
16,Indosat,Freedom U 5.5GB / 30 Hari,31.000,30,1,5,0,0,
17,Indosat,Freedom U 10GB / 30 Hari,52.000,30,2,8,0,0,
18,Indosat,Freedom U 20GB / 30 Hari,74.000,30,3,17,0,0,
19,Indosat,Freedom U 35GB / 30 Hari,96.000,30,7,28,0,0,
20,Indosat,Freedom U 45GB / 30 Hari,107.000,30,10,35,0,0,
21,Indosat,Freedom U JUMBO / 30 Hari,162.000,30,90,0,0,0,
