Product Name,Price,Validity,Limited Main (GB),Unlimited Main (GB),Limited Apps (GB)
Unlimited Harian 3 GB,100.0,28,0,3.0,0
Unlimited Harian 2 GB,80.0,28,0,2.0,0
Unlimited Harian 700 MB,65.0,28,0,0.7,0
Unlimited Harian 1 GB,45.0,14,0,1.0,0
Unlimited Harian 1 GB,25.0,7,0,1.0,0
Unlimited Harian 1 GB,9.0,1,0,1.0,0
Unlimited Nonstop 2 GB,10.0,10,0,2.0,0
Unlimited Nonstop 3 GB,15.0,14,0,3.0,0
Unlimited Nonstop 6 GB,35.0,30,0,10.0,0
Unlimited Nonstop 12 GB,50.0,30,0,18.0,0
Unlimited Nonstop 30GB,70.0,30,0,30.0,0
Unlimited Nonstop 45 GB,100.0,30,0,45.0,0
Unlimited Nonstop 60 GB,125.0,30,0,60.0,0
Paket Data Kuota 100 GB,100.0,30,100.0,0,0
Paket Data Kuota M,38.0,30,16.0,0,5
Paket Data Kuota L,55.0,30,30.0,0,10
Paket Data Kuota 2L,82.0,30,55.0,0,10
Paket Data Kuota 3L,115.0,30,85.0,0,15
Paket Data Kuota 4L,137.0,30,110.0,0,15
Kuota 3 GB,15.0,14,3.0,0,0
