Product Name,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Limited Application Quota (GB),Others
Paket Tinder Plus,32.0,30,1.0,1.0,Voucher Tinder Plus
Ekstra Kuota 3GB,15.0,0,0.5,2.5,
Ekstra Kuota 9.5GB,30.0,0,2.0,7.5,
Ekstra Kuota 11.5GB,40.0,0,4.0,7.5,
Ekstra Kuota 17.5GB,50.0,0,7.0,10.5,
Ketengan Ilmupedia,1.1,1,0.0,1.0,
Ketengan Ilmupedia,3.3,1,0.0,10.0,
Ketengan Ilmupedia,3.3,3,0.0,5.0,
Ketengan Ilmupedia,5.5,3,0.0,11.0,
Ketengan Ilmupedia,7.7,3,0.0,17.0,
Ketengan Ilmupedia,9.0,7,0.0,11.0,
Ketengan Ilmupedia,11.2,7,0.0,17.0,
Ketengan Ilmupedia,12.8,7,0.0,28.0,
Bulanan Ilmupedia,25.0,30,1.0,10.0,
Bulanan Ilmupedia,40.0,30,2.0,20.0,
Ketengan Ruangguru,1.1,1,0.0,1.0,
Ketengan Ruangguru,3.3,1,0.0,10.0,
Ketengan Ruangguru,3.3,3,0.0,5.0,
Ketengan Ruangguru,5.5,3,0.0,11.0,
Ketengan Ruangguru,7.7,3,0.0,17.0,
Ketengan Ruangguru,9.0,7,0.0,11.0,
Ketengan Ruangguru,11.2,7,0.0,17.0,
Ketengan Ruangguru,12.8,7,0.0,28.0,
Bulanan Ruangguru,25.0,30,1.0,5.0,
Bulanan Ruangguru,40.0,30,2.0,10.0,
Ketengan Belajar - 2 GB,3.3,1,0.0,2.0,
Ketengan Belajar - 5.5 GB,5.5,3,0.0,5.5,
Ketengan Belajar - 11 GB,7.7,3,0.0,11.0,
Ketengan Belajar - 5.5 GB,8.5,7,0.0,5.5,
Ketengan Belajar - 11 GB,10.9,7,0.0,11.0,
Ketengan Belajar - 22 GB,12.9,7,0.0,22.0,
Bulanan Kuota Belajar - 15 GB,30.0,30,0.0,15.0,
Bulanan Kuota Belajar - 30 GB,50.0,30,0.0,30.0,
Paket Harian 1,6.5,1,2.0,0.0,
Paket Harian 2,12.5,1,6.0,0.0,
Combo Sakti,68.0,30,15.0,10.0,Prime Video
Combo Sakti,88.0,30,20.0,15.0,Prime Video
Combo Sakti,114.0,30,28.0,20.0,Prime Video
Ketengan Utama - 500 MB,4.0,1,0.5,0.0,
Ketengan Utama - 6 GB,17.0,1,6.0,0.0,
Ketengan Utama - 3.5 GB,15.0,1,3.5,0.0,
Ketengan Utama - 500 MB,12.5,3,0.5,0.0,
Ketengan Utama - 22 GB,55.0,3,22.0,0.0,
Ketengan Utama - 1.5 GB,18.0,3,1.5,0.0,
Ketengan Utama - 2.5 GB,24.0,3,2.5,0.0,
Ketengan Utama - 3.5 GB,29.0,3,3.5,0.0,
Ketengan Utama - 8 GB,39.0,3,8.0,0.0,
Ketengan Utama - 17 GB,49.0,3,17.0,0.0,
Ketengan Utama - 500 MB,22.0,7,0.5,0.0,
Ketengan Utama - 40 GB,77.5,7,40.0,0.0,
Ketengan Utama - 1.5 GB,29.0,7,1.5,0.0,
Ketengan Utama - 2.5 GB,36.0,7,2.5,0.0,
Ketengan Utama - 3.5 GB,41.0,7,3.5,0.0,
Ketengan Utama - 6 GB,50.0,7,6.0,0.0,
Ketengan Utama - 17 GB,62.0,7,17.0,0.0,
Ketengan 1 Hari YouTube,5.0,1,0.0,1.0,
Ketengan 1 Hari Facebook,5.0,1,0.0,1.0,
Ketengan 1 Hari Instagram,5.0,1,0.0,1.0,
Ketengan 1 Hari TikTok,5.0,1,0.0,1.0,
Ketengan 1 Hari Twitter,5.0,1,0.0,1.0,
Ketengan 3 Hari YouTube,11.5,3,0.0,2.0,
Ketengan 3 Hari Facebook,11.5,3,0.0,2.0,
Ketengan 3 Hari Instagram,11.5,3,0.0,2.0,
Ketengan 3 Hari TikTok,11.5,3,0.0,2.0,
Ketengan 3 Hari Twitter,11.5,3,0.0,2.0,
Ketengan 7 Hari YouTube,17.0,7,0.0,3.0,
Ketengan 7 Hari Facebook,17.0,7,0.0,3.0,
Ketengan 7 Hari Instagram,17.0,7,0.0,3.0,
Ketengan 7 Hari TikTok,17.0,7,0.0,3.0,
Ketengan 7 Hari Twitter,17.0,7,0.0,3.0,
Ketengan TikTok 1 GB,3.6,1,0.0,1.0,
Ketengan Whatsapp 1 GB,3.6,1,0.0,1.0,
Ketengan Twitter 1 GB,3.6,1,0.0,1.0,
Ketengan TikTok 1 GB,5.8,3,0.0,1.0,
Ketengan Whatsapp 1 GB,5.8,3,0.0,1.0,
Ketengan Twitter 1 GB,5.8,3,0.0,1.0,
Ketengan TikTok 2.5 GB,8.0,3,0.0,2.5,
Ketengan Whatsapp 2.5 GB,8.0,3,0.0,2.5,
Ketengan Twitter 2.5 GB,8.0,3,0.0,2.5,
Ketengan TikTok 1 GB,9.5,7,0.0,1.0,
Ketengan Whatsapp 1 GB,9.5,7,0.0,1.0,
Ketengan Twitter 1 GB,9.5,7,0.0,1.0,
Ketengan TikTok 2.5 GB,11.8,7,0.0,2.5,
Ketengan Whatsapp 2.5 GB,11.8,7,0.0,2.5,
Ketengan Twitter 2.5 GB,11.8,7,0.0,2.5,
Ketengan TikTok 3.5 GB,13.5,7,0.0,3.5,
Ketengan Whatsapp 3.5 GB,13.5,7,0.0,3.5,
Ketengan Twitter 3.5 GB,13.5,7,0.0,3.5,
Ketengan YouTube 5.5 GB,34.0,30,0.0,5.5,
Ketengan Instagram 5.5 GB,34.0,30,0.0,5.5,
Ketengan Facebook 5.5 GB,34.0,30,0.0,5.5,
Ketengan TikTok 5.5 GB,34.0,30,0.0,5.5,
Ketengan Whatsapp 5.5 GB,34.0,30,0.0,5.5,
Ketengan Twitter 5.5 GB,34.0,30,0.0,5.5,
Ketengan YouTube 11 GB,54.0,30,0.0,11.0,
Ketengan Instagram 11 GB,54.0,30,0.0,11.0,
Ketengan Facebook 11 GB,54.0,30,0.0,11.0,
Ketengan TikTok 11 GB,54.0,30,0.0,11.0,
Ketengan Whatsapp 11 GB,54.0,30,0.0,11.0,
Ketengan Twitter 11 GB,54.0,30,0.0,11.0,
Paket Sehat 2GB,45.0,30,1.5,0.5,Pembelian Obat
Paket Data Zoom Berlangganan,130.0,30,0.0,15.0,Zoom Pro
Paket Data Zoom,15.0,1,0.0,0.5,Zoom Pro
Paket Data Zoom,25.0,3,0.0,1.5,Zoom Pro
Paket Data Zoom,50.0,7,0.0,4.0,Zoom Pro
Paket Data Zoom,130.0,30,0.0,15.0,Zoom Pro
InternetMAX Lite 3 GB,25.0,30,2.5,0.5,
InternetMAX 4 GB Prime,30.0,30,3.0,1.0,
InternetMAX 7 GB,30.0,30,5.0,2.0,
InternetMAX 11 GB,42.0,30,8.0,3.0,
InternetMAX 18 GB,66.0,30,10.0,8.0,
InternetMAX 35 GB,83.0,30,25.0,10.0,
InternetMAX 51 GB,115.0,30,38.0,13.0,
InternetMAX 70 GB,138.0,30,55.0,15.0,
Paket ComboFit 1GB,20.0,30,1.0,0.0,Fita Exercise Plan
Paket ComboFit 3GB,44.0,30,1.0,2.0,Allianz
Paket ComboFit 3.5GB,55.0,30,1.5,2.0,Allianz
Unlimited Play Silver Mobile Legends,25.0,30,1.25,30.25,
Unlimited Play Silver Free Fire,25.0,30,1.25,30.25,
Unlimited Play Silver AoV,25.0,30,1.25,30.25,
Unlimited Play Silver Shellfire,25.0,30,1.25,30.25,
Unlimited Play Silver Rise of Nowlins,25.0,30,1.25,30.25,
Unlimited Play Silver Google Play,25.0,30,1.25,30.25,
Unlimited Play Gold Mobile Legends,50.0,30,2.75,30.75,
Unlimited Play Gold Free Fire,50.0,30,2.75,30.75,
Unlimited Play Gold AoV,50.0,30,2.75,30.75,
Unlimited Play Gold Shellfire,50.0,30,2.75,30.75,
Unlimited Play Gold Rise of Nowlins,50.0,30,2.75,30.75,
Unlimited Play Gold Google Play,50.0,30,2.75,30.75,
Unlimited Play Diamond Mobile Legends,75.0,30,4.25,31.75,
Unlimited Play Diamond Free Fire,75.0,30,4.25,31.75,
Unlimited Play Diamond AoV,75.0,30,4.25,31.75,
Unlimited Play Diamond Shellfire,75.0,30,4.25,31.75,
Unlimited Play Diamond RoN,75.0,30,4.25,31.75,
Unlimited Play Diamond Google Play,75.0,30,4.25,31.75,
MusicMAX Smule VIP,25.0,30,1.25,5.25,
MusicMAX,25.0,30,1.5,5.0,NSP
MusicMAX JOOX VIP,32.0,30,1.0,2.0,
MusicMAX Smule,25.0,30,1.5,5.0,Smule
MusicMAX Ketengan,15.0,30,0.0,5.0,
MAXstream 6GB,15.0,7,0.0,6.0,Langganan Premium Video
GIGAMAX FIT,25.0,30,1.0,5.0,Langganan Premium Video
GALA,71.0,30,2.0,7.0,Langganan Premium Video
CATCHPLAY+ 7 Hari,16.0,7,0.0,1.0,Movie Lovers Basic
CATCHPLAY+ 30 Hari,50.0,30,0.0,3.0,Movie Lovers Basic
CATCHPLAY+ 90 Hari,100.0,90,0.0,9.0,Movie Lovers Basic
Lionsgate Play 30 Hari,16.0,30,0.0,2.0,Lionsgate Play
KlikFilm 3 Hari,7.0,3,0.0,0.5,
KlikFilm 7 Hari,13.0,7,0.0,1.0,
KlikFilm 30 Hari,21.0,30,0.0,1.5,
Vision+,11.0,7,0.0,1.0,Vision+
Vision+,31.0,30,0.0,2.0,Vision+
Vision+,81.0,90,0.0,6.0,Vision+
Vision+,202.0,360,0.0,24.0,Vision+
Prime Video Mobile,8.0,7,0.0,1.0,Prime Video Mobile
Prime Video Mobile,21.0,30,0.0,2.5,Prime Video Mobile
Prime Video,16.0,7,0.0,2.0,Prime Video
Prime Video,45.0,30,0.0,5.0,Prime Video
WeTV,12.0,7,0.0,1.0,WeTV
WeTV,410.0,1,0.0,24.0,WeTV
Viu,14.0,7,0.0,2.0,Viu
Viu,39.0,30,0.0,3.5,Viu
Viu,55.0,30,0.0,7.0,Viu
Viu,100.0,90,0.0,10.0,Viu
Viu,156.0,180,0.0,15.0,Viu
Zee Bahasa,26.0,30,0.0,2.0,
