Product Name,Price,Total Anggota,Main Quota,Limited Application Quota,Unlimited Application Quota,Product Duration
Xtra Combo Flex S+,31000,0,10.0,0.0,0.0,30.0
Xtra Combo Flex M,41000,0,15.0,0.0,0.0,30.0
Xtra Combo Flex L,60000,0,27.0,0.0,0.0,30.0
Xtra Combo Flex XL,85000,0,45.0,0.0,0.0,30.0
Xtra Combo Flex XXL,115000,0,90.0,0.0,0.0,30.0
Xtra Combo Flex XXXL,140000,0,180.0,0.0,0.0,30.0
30 GB,62000,2 orang,30.0,0.0,1.0,30.0
42 GB,85000,2 orang,42.0,0.0,1.0,30.0
65 GB,125000,2 orang,65.0,0.0,1.0,30.0
147 GB,205000,3 orang,147.0,0.0,1.0,30.0
260 GB,320000,4 orang,260.0,0.0,1.0,30.0
460 GB,515000,4 orang,460.0,0.0,1.0,30.0
Xtra Combo VIP Plus 10 GB,71500,0,20.0,3.0,1.0,30.0
Xtra Combo VIP Plus 20 GB,101000,0,40.0,3.0,1.0,30.0
Xtra Combo VIP Plus 30 GB,141000,0,54.0,6.0,1.0,30.0
Xtra Combo VIP Plus 52 GB,192000,0,92.0,9.0,1.0,30.0
Xtra Combo VIP Plus 72 GB,252500,0,122.0,15.0,1.0,30.0
Xtra Combo Plus 10 GB,59900,0,20.0,3.0,2.0,30.0
Xtra Combo Plus 20 GB,89900,0,40.0,3.0,2.0,30.0
Xtra Combo Plus 30 GB,134000,0,56.0,6.0,2.0,30.0
Xtra Combo Plus 52 GB,182900,0,92.0,9.0,2.0,30.0
Xtra Combo Plus 72 GB,244900,0,122.0,15.0,2.0,30.0
Xtra Combo Mini 1.5 GB,9900,0,3.0,0.0,0.0,7.0
Xtra Combo Mini 2.5 GB,14900,0,5.0,1.0,0.0,7.0
Xtra Combo Mini 4 GB,18900,0,8.0,2.0,0.0,7.0
Xtra Combo Mini 6 GB,24900,0,11.0,3.0,0.0,7.0
Xtra Kuota Utama 2GB,6000,0,2.0,0.0,0.0,0.5
Xtra Kuota Utama 2GB,7500,0,2.0,0.0,0.0,1.0
