Product Name,Price,Kuota Nasional Active,Kuota Nasional Amount,Kuota Nasional Duration,Kuota Tiktok Active,Kuota Tiktok Amount,Kuota Tiktok Duration,Kuota Streaming Active,Kuota Streaming Amount,Kuota Streaming Duration,Kuota Reguler Active,Kuota Reguler Amount,Kuota Reguler Duration,Kuota Weekend Active,Kuota Weekend Amount,Kuota Weekend Duration,Kuota 01.00-17.00 Active,Kuota 01.00-17.00 Amount,Kuota 01.00-17.00 Duration,Kuota 01.00-06.00 dan 15.00-18.00 Active,Kuota 01.00-06.00 dan 15.00-18.00 Amount,Kuota 01.00-06.00 dan 15.00-18.00 Duration,Kuota AON Active,Kuota AON Amount,Kuota AON Duration,Kuota Harian Active,Kuota Harian Amount,Kuota Harian Duration,Kuota 01.00 - 05.59 Active,Kuota 01.00 - 05.59 Amount,Kuota 01.00 - 05.59 Duration,Kuota 01.00 - 09.00 Active,Kuota 01.00 - 09.00 Amount,Kuota 01.00 - 09.00 Duration,Kuota 4G Active,Kuota 4G Amount,Kuota 4G Duration
Happy 130GB 30 hari,Rp150.000,24 Jam,130GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 100GB 30 Hari..,Rp140.000,24 Jam,100GB,Berlaku 30 Hari,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 50GB 30 Hari,Rp100.000,24 Jam,50GB,Berlaku 30 Hari,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 42GB 30 Hari..,Rp90.000,24 Jam,42GB,Berlaku 30 Hari,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 52GB UL 30 Hari..,Rp80.000,24 Jam,22GB,Berlaku 30 hari,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),24 Jam,30GB,Berlaku 30 hari,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 30GB 30 Hari,Rp70.000,24 Jam,30GB,Berlaku 30 Hari,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 13GB 30 Hari,Rp50.000,24 Jam,13GB,Berlaku 30 Hari,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 10GB 10 Hari,Rp35.000,24 Jam,10GB,Berlaku 10 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 7GB 30 Hari,Rp30.000,24 Jam,7GB,Berlaku 30 Hari,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 9GB 5 Hari,Rp25.000,24 Jam,9GB,Berlaku 5 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 5GB 7 Hari,Rp20.000,24 Jam,5GB,Berlaku 7 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 3.5GB 30 Hari,Rp20.000,24 Jam,3.5GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 3.5GB 5 Hari..,Rp17.000,24 Jam,3.5 GB,Berlaku 5 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 5GB 3 Hari,Rp15.000,24 Jam,5GB,Berlaku 3 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 5GB 1 Hari..,Rp11.000,24 Jam,5GB,Berlaku 1 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 3GB 3 Hari,Rp11.000,24 Jam,3 GB,Berlaku 3 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 3GB 2 Hari,Rp10.000,24 Jam,3GB,Berlaku 2 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 1.5GB 7 Hari..,Rp10.000,24 Jam,1.5GB,Berlaku 7 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 2GB 1 Hari,Rp5.000,24 Jam,2GB,Berlaku 1 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy 2.5GB 1 Hari..,Rp6.000,24 Jam,2.5GB,Berlaku 1 Hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Sale 100GB 24 Jam.,Rp140.000,,,,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,24 Jam,100GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,,,,,,,
Hot Sale 117GB 24 Jam,Rp125.000,,,,,,,,,,24 Jam,17GB,Berlaku 30 Hari,Weekend,40GB,Berlaku,01.00-17.00,60GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,
Hot Sale 50GB 24 Jam,Rp100.000,,,,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,24 Jam,50GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,,,,,,,
Hot Sale 30GB 24 Jam,Rp70.000,,,,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,24 Jam,30GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,,,,,,,
Hot Sale 13GB 24 Jam,Rp50.000,,,,24 Jam,5GB,Berlaku 5 Hari (1GB/Hari),,,,24 Jam,13GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,,,,,,,
Hot Sale 30GB 7hr,Rp20.000,,,,,,,,,,,,,,,,,,,01.00-06.00 and 15.00-18.00,30GB,Berlaku 7 Hari,,,,,,,,,,,,,,,
AON Full 40GB..,Rp100.000,,,,,,,,,,,,,,,,,,,,,,Berlaku 24 Jam,40GB,Berlaku 365 Hari,,,,,,,,,,,,
AON Unlimited 26GB..,Rp80.000,,,,,,,,,,30 Hari,20GB,Berlaku 01.00-17.00,,,,,,,,,,Berlaku 24 Jam,6GB,Berlaku 365 Hari,,,,,,,,,,,,
AON Full 14GB,Rp60.000,,,,,,,,,,,,,,,,,,,,,,Berlaku 24 Jam,14GB,Berlaku 365 Hari,,,,,,,,,,,,
AON Full 10GB,Rp50.000,,,,,,,,,,,,,,,,,,,,,,Berlaku 24 Jam,10GB,Berlaku 365 Hari,,,,,,,,,,,,
AON Full 7GB,Rp40.000,,,,,,,,,,,,,,,,,,,,,,Berlaku 24 Jam,7GB,Berlaku 365 Hari,,,,,,,,,,,,
AON Full 4GB,Rp25.000,,,,,,,,,,,,,,,,,,,,,,Berlaku 24 Jam,4GB,Berlaku 365 Hari,,,,,,,,,,,,
AON Full 3GB,Rp20.000,,,,,,,,,,,,,,,,,,,,,,Berlaku 24 Jam,3GB,Berlaku 365 Hari,,,,,,,,,,,,
Home 150GB.,Rp160.000,,,,,,,,,,24 Jam,15GB,Berlaku 30 Hari,Weekend,60GB,Berlaku,01.00-17.00,75GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,
Home 120GB.,Rp130.000,,,,,,,,,,24 Jam,10GB,Berlaku 30 Hari,Weekend,45GB,Berlaku,01.00-17.00,65GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,
Home 117GB..,Rp125.000,,,,,,,,,,24 Jam,17GB,Berlaku 30 Hari,Weekend,40GB,Berlaku,01.00-17.00,60GB,Berlaku 30 Hari,,,,,,,,,,,,,,,,,,
Home 100GB.,Rp100.000,,,,,,,,,,24 Jam,100GB,Berlaku 7 Hari,,,,,,,,,,,,,,,,,,,,,,,,
